               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  90,            0.024511,            0.014272,           0.0017515,             0.83304,             0.73382,             0.77908,             0.42256,            0.036089,            0.015386,           0.0077036,            0.001189,            0.001189,            0.001189
                  91,            0.025199,            0.014916,           0.0020784,             0.80495,              0.7385,             0.76791,             0.41302,             0.03628,            0.015759,           0.0077326,             0.00109,             0.00109,             0.00109
                  92,            0.024177,            0.014455,           0.0016015,             0.81519,             0.76842,             0.77489,             0.41872,            0.036332,            0.015553,           0.0076176,            0.000991,            0.000991,            0.000991
                  93,            0.024633,            0.013827,            0.001868,             0.82781,             0.75171,             0.77477,             0.42646,            0.036234,            0.015564,           0.0076214,            0.000892,            0.000892,            0.000892
                  94,            0.024759,            0.014731,           0.0017938,             0.82908,             0.76807,             0.77525,             0.42847,             0.03609,            0.015398,           0.0081326,            0.000793,            0.000793,            0.000793
                  95,            0.024071,            0.013837,           0.0022155,             0.84379,             0.75857,             0.77821,             0.43238,            0.036045,            0.015355,           0.0079636,            0.000694,            0.000694,            0.000694
                  96,            0.024895,            0.013836,           0.0017529,             0.81477,             0.77328,             0.77995,             0.43432,            0.035977,             0.01526,           0.0077209,            0.000595,            0.000595,            0.000595
                  97,            0.024844,            0.014238,           0.0017148,             0.86439,             0.74647,             0.78087,             0.42713,            0.036033,            0.015439,           0.0078545,            0.000496,            0.000496,            0.000496
                  98,            0.024522,            0.014016,            0.001731,             0.85266,             0.72354,             0.77434,             0.43257,             0.03606,            0.015491,           0.0080021,            0.000397,            0.000397,            0.000397
                  99,            0.024547,            0.014208,           0.0018026,             0.84772,             0.71626,              0.7734,             0.42406,            0.035924,            0.015428,           0.0081249,            0.000298,            0.000298,            0.000298
