               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  55,            0.030784,            0.016899,           0.0035199,             0.81452,             0.75934,             0.79392,             0.43452,            0.036964,            0.014275,           0.0065697,            0.004654,            0.004654,            0.004654
                  56,            0.030312,            0.015738,           0.0035313,             0.83977,             0.73743,             0.78724,             0.40303,              0.0373,            0.014513,           0.0070095,            0.004555,            0.004555,            0.004555
                  57,            0.030427,            0.016919,           0.0030269,             0.84556,             0.73426,             0.76875,             0.40268,             0.03768,            0.014853,           0.0072908,            0.004456,            0.004456,            0.004456
                  58,             0.03055,            0.016679,           0.0033411,             0.88216,             0.68954,             0.78052,             0.42318,            0.037701,            0.014803,           0.0068081,            0.004357,            0.004357,            0.004357
                  59,            0.030098,            0.016485,           0.0033309,             0.87293,             0.71705,             0.78467,             0.43015,            0.036715,            0.014615,           0.0066067,            0.004258,            0.004258,            0.004258
                  60,            0.030194,            0.016322,           0.0029427,             0.79463,             0.69601,              0.7233,              0.3777,            0.037331,            0.014801,           0.0062565,            0.004159,            0.004159,            0.004159
                  61,            0.029332,            0.015837,           0.0030075,             0.85874,             0.76719,             0.80141,             0.40729,            0.036739,            0.014781,           0.0062727,             0.00406,             0.00406,             0.00406
                  62,            0.030786,            0.016563,           0.0032114,             0.87829,             0.71906,              0.7798,             0.43073,            0.036719,            0.014895,           0.0067337,            0.003961,            0.003961,            0.003961
                  63,            0.029269,            0.017396,           0.0029931,             0.83408,             0.69952,             0.78221,             0.43937,            0.036766,            0.015394,           0.0069723,            0.003862,            0.003862,            0.003862
                  64,            0.028566,            0.015748,           0.0027959,             0.78314,             0.75431,             0.76871,             0.41416,            0.036725,            0.015089,           0.0079693,            0.003763,            0.003763,            0.003763
                  65,            0.029353,            0.016557,           0.0025351,             0.84051,             0.71966,             0.76781,             0.41531,            0.036927,            0.014957,           0.0079283,            0.003664,            0.003664,            0.003664
                  66,            0.028618,            0.017172,           0.0031208,             0.82211,             0.71247,             0.77271,             0.42434,            0.036226,              0.0149,           0.0080566,            0.003565,            0.003565,            0.003565
                  67,            0.028558,            0.016729,           0.0029728,             0.88893,             0.71687,             0.77781,             0.41192,            0.036928,            0.014956,           0.0068577,            0.003466,            0.003466,            0.003466
                  68,            0.028451,            0.016115,           0.0030145,             0.85568,             0.73994,             0.79239,             0.41407,            0.037062,            0.015108,           0.0069576,            0.003367,            0.003367,            0.003367
                  69,            0.028148,             0.01574,           0.0027085,             0.83088,             0.72842,             0.77527,             0.41845,            0.037493,            0.015157,            0.007106,            0.003268,            0.003268,            0.003268
                  70,            0.027958,            0.015475,           0.0029658,              0.8202,             0.74654,             0.79354,             0.44296,            0.036768,            0.015106,            0.006913,            0.003169,            0.003169,            0.003169
                  71,            0.027964,            0.016417,           0.0024629,             0.84105,             0.71628,             0.76779,             0.44585,            0.036909,            0.014847,           0.0066999,             0.00307,             0.00307,             0.00307
                  72,            0.028084,            0.015376,           0.0028398,             0.87589,             0.73633,             0.78087,             0.43942,            0.036607,            0.015153,           0.0077435,            0.002971,            0.002971,            0.002971
                  73,             0.02816,            0.015741,           0.0025595,             0.87154,               0.715,             0.79197,             0.42915,            0.036861,            0.015353,           0.0072285,            0.002872,            0.002872,            0.002872
                  74,            0.027546,            0.015027,            0.002179,             0.84429,             0.74259,             0.80647,             0.42172,            0.036753,            0.014833,           0.0078436,            0.002773,            0.002773,            0.002773
                  75,            0.027981,            0.016478,           0.0026283,             0.85143,             0.74819,             0.80677,              0.4462,            0.036335,            0.014719,           0.0070438,            0.002674,            0.002674,            0.002674
                  76,            0.027209,            0.015798,           0.0021687,              0.8151,               0.763,             0.79823,             0.43061,            0.036541,            0.015059,           0.0069714,            0.002575,            0.002575,            0.002575
                  77,            0.027237,            0.015981,           0.0023152,             0.90788,             0.67669,             0.79524,             0.43501,            0.036381,            0.015425,           0.0067587,            0.002476,            0.002476,            0.002476
                  78,            0.026818,             0.01505,           0.0021508,             0.85928,             0.71486,             0.80194,             0.45205,            0.036267,            0.015202,           0.0066483,            0.002377,            0.002377,            0.002377
                  79,            0.027325,            0.015461,            0.002576,              0.8645,             0.68865,             0.77698,             0.42745,            0.036588,            0.015143,           0.0072651,            0.002278,            0.002278,            0.002278
                  80,            0.027045,            0.015024,           0.0026471,             0.82761,             0.73028,             0.79671,             0.41746,            0.036432,            0.015112,           0.0075138,            0.002179,            0.002179,            0.002179
                  81,            0.026323,            0.015056,           0.0026306,             0.87783,             0.70918,             0.77072,             0.41505,            0.036546,            0.015221,           0.0073746,             0.00208,             0.00208,             0.00208
                  82,            0.026496,            0.014928,           0.0022302,              0.8201,             0.71651,             0.77593,             0.42309,            0.036631,            0.015203,           0.0074284,            0.001981,            0.001981,            0.001981
                  83,            0.026152,            0.015705,           0.0022858,             0.84618,             0.71212,             0.77473,             0.41625,            0.036664,            0.015077,           0.0074551,            0.001882,            0.001882,            0.001882
                  84,            0.026161,            0.014418,           0.0020809,             0.84892,             0.73143,             0.80256,             0.42526,            0.036605,            0.015133,           0.0074303,            0.001783,            0.001783,            0.001783
                  85,            0.025823,            0.015481,           0.0022038,             0.83747,             0.77223,             0.79564,             0.42962,              0.0364,            0.015132,           0.0077042,            0.001684,            0.001684,            0.001684
                  86,            0.026182,            0.014088,           0.0024379,             0.80756,             0.73451,             0.77327,             0.42888,            0.036876,             0.01532,           0.0080009,            0.001585,            0.001585,            0.001585
                  87,            0.026738,            0.014953,           0.0023655,             0.83891,             0.73008,             0.77771,             0.43983,            0.036519,            0.015224,           0.0080122,            0.001486,            0.001486,            0.001486
                  88,            0.026186,             0.01435,            0.002111,             0.86564,             0.72042,             0.77652,             0.43246,            0.036712,            0.015247,           0.0084169,            0.001387,            0.001387,            0.001387
                  89,            0.025453,            0.014128,           0.0020861,             0.82333,             0.74154,             0.79661,             0.44062,            0.036403,             0.01527,           0.0078548,            0.001288,            0.001288,            0.001288
                  90,             0.02485,            0.014295,           0.0017695,              0.8165,             0.76114,             0.79305,             0.43032,            0.036621,            0.015286,            0.008131,            0.001189,            0.001189,            0.001189
                  91,            0.025583,            0.014833,           0.0021762,             0.81068,             0.74638,             0.77123,             0.41762,            0.036685,            0.015396,           0.0085941,             0.00109,             0.00109,             0.00109
                  92,             0.02446,            0.014501,           0.0015787,             0.80202,             0.73148,             0.78066,              0.4337,             0.03651,            0.015319,           0.0087379,            0.000991,            0.000991,            0.000991
                  93,            0.024812,             0.01384,           0.0019045,             0.82955,             0.72008,             0.79288,             0.43079,            0.036762,            0.015483,           0.0081631,            0.000892,            0.000892,            0.000892
                  94,            0.025216,            0.014834,           0.0018284,             0.82894,             0.73396,             0.79167,             0.42881,            0.036662,            0.015317,           0.0085958,            0.000793,            0.000793,            0.000793
                  95,            0.024417,            0.013891,           0.0021765,             0.81983,              0.7666,              0.7858,              0.4297,            0.036561,            0.015236,           0.0085972,            0.000694,            0.000694,            0.000694
                  96,            0.025126,            0.013906,           0.0017686,             0.81729,             0.77053,             0.78524,              0.4272,            0.036384,            0.015294,           0.0082443,            0.000595,            0.000595,            0.000595
                  97,            0.024982,            0.014203,           0.0016479,             0.81789,             0.77367,             0.79181,             0.43305,            0.036413,            0.015381,           0.0080488,            0.000496,            0.000496,            0.000496
                  98,            0.024786,            0.013923,           0.0017782,             0.83265,             0.77213,             0.77833,             0.44112,            0.036318,            0.015335,           0.0082176,            0.000397,            0.000397,            0.000397
                  99,            0.024826,            0.014329,           0.0017873,             0.79904,             0.76718,             0.77817,             0.43548,            0.036256,            0.015321,           0.0085796,            0.000298,            0.000298,            0.000298
