               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  81,            0.026574,             0.01509,           0.0027859,             0.83975,             0.77441,             0.77542,             0.41737,            0.036635,             0.01514,           0.0073364,             0.00208,             0.00208,             0.00208
                  82,            0.026572,            0.015038,           0.0023628,             0.85847,              0.7474,             0.76732,             0.42812,            0.036294,            0.015256,           0.0076826,            0.001981,            0.001981,            0.001981
                  83,            0.026093,            0.015704,             0.00218,             0.79836,             0.76425,             0.76104,             0.42742,            0.036394,            0.015146,           0.0076595,            0.001882,            0.001882,            0.001882
                  84,            0.026141,            0.014459,           0.0019967,             0.82131,             0.75304,             0.77125,             0.39817,            0.036282,            0.015169,           0.0083546,            0.001783,            0.001783,            0.001783
                  85,            0.025826,            0.015375,           0.0022557,              0.8193,             0.76683,             0.75835,             0.40638,            0.036166,            0.015189,           0.0080151,            0.001684,            0.001684,            0.001684
                  86,            0.026117,            0.014141,            0.002493,             0.81138,             0.76415,             0.76322,             0.41272,            0.036535,            0.015308,           0.0080139,            0.001585,            0.001585,            0.001585
                  87,            0.026662,            0.014729,           0.0023224,             0.81305,             0.76432,             0.76318,             0.42984,            0.036302,             0.01523,           0.0083496,            0.001486,            0.001486,            0.001486
                  88,            0.026242,            0.014236,           0.0019256,              0.8084,             0.77075,             0.76924,             0.41952,            0.036251,            0.015293,           0.0084038,            0.001387,            0.001387,            0.001387
                  89,            0.025402,            0.014101,           0.0022619,             0.81033,             0.76874,             0.76626,             0.41114,            0.035997,            0.015308,           0.0081604,            0.001288,            0.001288,            0.001288
                  90,            0.024809,             0.01423,           0.0018517,             0.82474,             0.76308,              0.7692,             0.41241,            0.036391,            0.015387,           0.0079742,            0.001189,            0.001189,            0.001189
                  91,            0.025415,            0.014949,           0.0020337,             0.80065,             0.75175,             0.76227,             0.41224,            0.036561,            0.015502,           0.0078388,             0.00109,             0.00109,             0.00109
                  92,            0.024481,            0.014485,           0.0015901,             0.82862,             0.72199,             0.76229,             0.42115,            0.036438,            0.015411,           0.0082764,            0.000991,            0.000991,            0.000991
                  93,            0.024663,            0.013978,           0.0018685,             0.83585,             0.70677,             0.76726,             0.41433,            0.036482,            0.015419,            0.008452,            0.000892,            0.000892,            0.000892
                  94,             0.02522,            0.014919,            0.001741,             0.80567,             0.73365,             0.76366,             0.41403,            0.036442,            0.015415,           0.0085114,            0.000793,            0.000793,            0.000793
                  95,            0.024483,            0.013915,            0.002382,                0.81,                0.75,             0.76012,             0.41561,             0.03646,             0.01545,           0.0083702,            0.000694,            0.000694,            0.000694
                  96,            0.025215,            0.014072,           0.0018007,             0.82308,             0.74361,             0.76552,             0.42925,             0.03636,            0.015392,           0.0086906,            0.000595,            0.000595,            0.000595
                  97,             0.02503,            0.014248,           0.0017238,             0.82289,              0.7344,             0.76517,             0.41462,            0.036313,             0.01548,           0.0084284,            0.000496,            0.000496,            0.000496
                  98,            0.024739,            0.013973,           0.0016998,             0.82812,             0.73517,             0.76556,             0.42055,            0.036332,            0.015488,           0.0085754,            0.000397,            0.000397,            0.000397
                  99,            0.024836,            0.014215,           0.0018695,             0.82146,              0.7335,             0.76711,             0.41967,            0.036309,            0.015496,           0.0088888,            0.000298,            0.000298,            0.000298
